,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
,AAPL,AMZN,FB,GOOGL,AAPL,AMZN,FB,GOOGL,AAPL,AMZN,FB,GOOGL,AAPL,AMZN,FB,GOOGL,AAPL,AMZN,FB,GOOGL,AAPL,AMZN,FB,GOOGL
Date,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,172.4040985107422,1305.199951171875,179.3699951171875,1130.6500244140625,177.08999633789062,1305.199951171875,179.3699951171875,1130.6500244140625,177.36000061035156,1305.760009765625,181.47999572753906,1131.300048828125,175.64999389648438,1273.3900146484375,177.39999389648438,1108.010009765625,176.17999267578125,1273.3900146484375,178.05999755859375,1110.0999755859375,25418100,5443700,77551300,1929300
2018-01-16,171.52789306640625,1304.8599853515625,178.38999938964844,1130.699951171875,176.19000244140625,1304.8599853515625,178.38999938964844,1130.699951171875,179.38999938964844,1339.93994140625,181.75,1148.8800048828125,176.13999938964844,1292.300048828125,178.0399932861328,1126.6600341796875,177.89999389648438,1323.0,181.5,1140.31005859375,29565900,7220700,36183800,1823100
2018-01-17,174.3608856201172,1295.0,177.60000610351562,1139.0999755859375,179.10000610351562,1295.0,177.60000610351562,1139.0999755859375,179.25,1314.0,179.32000732421875,1139.3199462890625,175.07000732421875,1280.8800048828125,175.8000030517578,1123.489990234375,176.14999389648438,1312.239990234375,179.25999450683594,1136.3599853515625,34386800,5253800,27992400,1391500
2018-01-18,174.51663208007812,1293.3199462890625,179.8000030517578,1135.969970703125,179.25999450683594,1293.3199462890625,179.8000030517578,1135.969970703125,180.10000610351562,1304.5999755859375,180.97999572753906,1140.5899658203125,178.25,1284.02001953125,177.0800018310547,1124.4599609375,179.3699951171875,1293.949951171875,178.1300048828125,1139.3499755859375,31193400,4026900,23304900,1374900
2018-01-19,173.7378387451172,1294.5799560546875,181.2899932861328,1143.5,178.4600067138672,1294.5799560546875,181.2899932861328,1143.5,179.5800018310547,1313.0,182.3699951171875,1143.780029296875,177.41000366210938,1292.989990234375,180.1699981689453,1132.5,178.61000061035156,1312.0,180.85000610351562,1138.030029296875,32425100,4578500,26826500,1527600
2018-01-22,172.3164520263672,1327.31005859375,185.3699951171875,1164.1600341796875,177.0,1327.31005859375,185.3699951171875,1164.1600341796875,177.77999877929688,1327.449951171875,185.38999938964844,1166.8800048828125,176.60000610351562,1296.6600341796875,180.41000366210938,1141.8199462890625,177.3000030517578,1297.1700439453125,180.8000030517578,1143.8199462890625,27108600,4140100,21059500,1477500
2018-01-23,172.3553924560547,1362.5400390625,189.35000610351562,1176.1700439453125,177.0399932861328,1362.5400390625,189.35000610351562,1176.1700439453125,179.44000244140625,1364.9000244140625,189.5500030517578,1178.510009765625,176.82000732421875,1337.3399658203125,185.5500030517578,1167.25,177.3000030517578,1338.0899658203125,186.0500030517578,1170.6199951171875,32689100,5169300,25678800,1956900
2018-01-24,169.61001586914062,1357.510009765625,186.5500030517578,1171.2900390625,174.22000122070312,1357.510009765625,186.5500030517578,1171.2900390625,177.3000030517578,1388.1600341796875,190.66000366210938,1187.050048828125,173.1999969482422,1338.0,186.52000427246094,1167.4000244140625,177.25,1374.8199462890625,189.88999938964844,1184.97998046875,51105100,6807500,24334500,1856400
2018-01-25,166.5823211669922,1377.949951171875,187.47999572753906,1182.1400146484375,171.11000061035156,1377.949951171875,187.47999572753906,1182.1400146484375,174.9499969482422,1378.3399658203125,188.6199951171875,1185.0,170.52999877929688,1357.6199951171875,186.60000610351562,1171.8399658203125,174.50999450683594,1368.0,187.9499969482422,1180.7099609375,41529000,4753000,17377700,1499200
2018-01-26,166.9717254638672,1402.050048828125,190.0,1187.56005859375,171.50999450683594,1402.050048828125,190.0,1187.56005859375,172.0,1402.530029296875,190.0,1187.56005859375,170.05999755859375,1380.9100341796875,186.80999755859375,1168.030029296875,172.0,1392.010009765625,187.75,1187.530029296875,39143000,4857300,17759200,2108500
2018-01-29,163.5156707763672,1417.6800537109375,185.97999572753906,1186.47998046875,167.9600067138672,1417.6800537109375,185.97999572753906,1186.47998046875,170.16000366210938,1431.3900146484375,188.83999633789062,1198.0,167.07000732421875,1400.43994140625,185.6300048828125,1184.06005859375,170.16000366210938,1409.1800537109375,188.75,1188.0,50640400,5701900,20453200,1574700
2018-01-30,162.55186462402344,1437.8199462890625,187.1199951171875,1177.3699951171875,166.97000122070312,1437.8199462890625,187.1199951171875,1177.3699951171875,167.3699951171875,1439.25,188.17999267578125,1187.9300537109375,164.6999969482422,1392.0,181.83999633789062,1174.510009765625,165.52999877929688,1403.1700439453125,187.6199951171875,1177.719970703125,46048200,5871900,20858600,1866900
2018-01-31,162.99969482421875,1450.8900146484375,186.88999938964844,1182.219970703125,167.42999267578125,1450.8900146484375,186.88999938964844,1182.219970703125,168.44000244140625,1472.5799560546875,189.8300018310547,1186.3199462890625,166.5,1450.0400390625,185.22000122070312,1172.0999755859375,166.8699951171875,1451.300048828125,188.3699951171875,1183.81005859375,32478900,6424700,43275100,1801100
2018-02-01,163.34042358398438,1390.0,193.08999633789062,1181.5899658203125,167.77999877929688,1390.0,193.08999633789062,1181.5899658203125,168.6199951171875,1459.8800048828125,195.32000732421875,1187.449951171875,166.75999450683594,1385.1400146484375,187.88999938964844,1169.3599853515625,167.1699981689453,1445.0,188.22000122070312,1175.989990234375,47230800,9113800,54211300,3675700
2018-02-02,156.25306701660156,1429.949951171875,190.27999877929688,1119.199951171875,160.5,1429.949951171875,190.27999877929688,1119.199951171875,166.8000030517578,1498.0,194.2100067138672,1131.300048828125,160.10000610351562,1414.0,189.97999572753906,1111.1700439453125,166.0,1477.3900146484375,192.0399932861328,1127.4200439453125,86593800,11125700,26677500,5892100
2018-02-05,152.3491668701172,1390.0,181.25999450683594,1062.3900146484375,156.49000549316406,1390.0,181.25999450683594,1062.3900146484375,163.8800048828125,1458.97998046875,190.61000061035156,1114.989990234375,156.0,1320.719970703125,180.61000061035156,1056.739990234375,159.10000610351562,1402.6199951171875,186.92999267578125,1100.6099853515625,72738500,11495000,33128200,4177500
2018-02-06,158.7161102294922,1442.8399658203125,185.30999755859375,1084.4300537109375,163.02999877929688,1442.8399658203125,185.30999755859375,1084.4300537109375,163.72000122070312,1443.989990234375,185.77000427246094,1087.3800048828125,154.0,1351.7900390625,177.74000549316406,1030.010009765625,154.8300018310547,1361.4599609375,178.57000732421875,1033.97998046875,68243800,11066800,37758500,3831500
2018-02-07,155.3184356689453,1416.780029296875,180.17999267578125,1055.4100341796875,159.5399932861328,1416.780029296875,180.17999267578125,1055.4100341796875,163.39999389648438,1460.989990234375,185.0800018310547,1086.530029296875,159.07000732421875,1415.1500244140625,179.9499969482422,1054.6199951171875,163.08999633789062,1449.0,184.14999389648438,1084.969970703125,51608600,7162700,27601900,2597100
2018-02-08,151.0446319580078,1350.5,171.5800018310547,1007.7100219726562,155.14999389648438,1350.5,171.5800018310547,1007.7100219726562,161.0,1433.75,181.83999633789062,1063.9300537109375,155.02999877929688,1349.93994140625,171.47999572753906,1004.7000122070312,160.2899932861328,1429.6800537109375,181.00999450683594,1059.8699951171875,54390500,8578600,38478300,3339600
2018-02-09,152.89210510253906,1339.5999755859375,176.11000061035156,1046.27001953125,156.41000366210938,1339.5999755859375,176.11000061035156,1046.27001953125,157.88999938964844,1383.5,176.89999389648438,1051.719970703125,150.24000549316406,1265.9300537109375,167.17999267578125,997.0,157.07000732421875,1373.489990234375,174.75999450683594,1025.8800048828125,70672600,14141500,39887600,4918000
2018-02-12,159.0504150390625,1386.22998046875,176.41000366210938,1054.56005859375,162.7100067138672,1386.22998046875,176.41000366210938,1054.56005859375,163.88999938964844,1393.81005859375,177.5500030517578,1065.5699462890625,157.50999450683594,1344.010009765625,171.83999633789062,1045.489990234375,158.5,1364.6700439453125,177.05999755859375,1056.6700439453125,60819500,6738900,32092100,2812000
2018-02-13,160.64378356933594,1414.510009765625,173.14999389648438,1054.1400146484375,164.33999633789062,1414.510009765625,173.14999389648438,1054.1400146484375,164.75,1419.719970703125,175.97000122070312,1061.219970703125,161.64999389648438,1383.530029296875,173.10000610351562,1046.9200439453125,161.9499969482422,1385.9300537109375,175.6199951171875,1050.0,32549200,5917900,21809400,1579300
2018-02-14,163.6055908203125,1451.050048828125,179.52000427246094,1072.699951171875,167.3699951171875,1451.050048828125,179.52000427246094,1072.699951171875,167.5399932861328,1452.06005859375,179.80999755859375,1075.469970703125,162.8800048828125,1403.3599853515625,173.2100067138672,1049.800048828125,163.0399932861328,1406.25,173.4499969482422,1054.3199462890625,40644900,5959200,28929700,2065200
2018-02-15,169.09921264648438,1461.760009765625,179.9600067138672,1091.3599853515625,172.99000549316406,1461.760009765625,179.9600067138672,1091.3599853515625,173.08999633789062,1468.93994140625,180.5,1094.0999755859375,169.0,1436.8399658203125,176.83999633789062,1067.22998046875,169.7899932861328,1466.8900146484375,180.5,1083.449951171875,51147200,5652700,20922100,1869800
